Product Name,Brand,Price,Picture,Description,THC content,CBD content,Flower type,Category
PLUG N PLAY: BERRY GANG 1G,PLUG N PLAY,$58   1.0 grams,https://tymber-blaze-products.imgix.net/471860_Berry_Gang_1__2_-7b3f52b0-3c47-457e-a449-35c9754507a9.jpg?auto=format&ixlib=react-9.8.1&h=300,"GANG GANG! Don’t be sour! Be Berry sweet! This cart will make you fly high, no lie, every berry knows it! You’ll bang out these cartridges in no time! From its mental euphoria to its peasant body warmth, Berry Gang will hit you hard in the sweetest way possible. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 88.26%,,HYBRID,"Vape Cartridges, Just In!, New"
PLUG N PLAY: STRAWBERRY CHAMPAGE 1G,PLUG N PLAY,$58   1.0 grams,https://tymber-blaze-products.imgix.net/237990_Strawberry-Champagne-1-V2-a3a88143-6271-41a6-9bbe-ad16a094241d.jpg?auto=format&ixlib=react-9.8.1&h=300,"You'll want to sneak this pen in for brunch. PLUGplay™ offers their PLUG™ EXOTICS: Strawberry Champagne. This Hybrid vape oil has a stellar strawberry aromatics and a crisp, clean flavor profile. The effects are euphoric and invigorating, leaving users ready to PLUGplay™. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 88.29%,,HYBRID,"Vape Cartridges, Just In!, New"
BREEZ: CITRUS RECOVERY TINCTURE DROPS 1000MG,BREEZ,$70   18.17 milligrams,https://tymber-blaze-products.imgix.net/IMG_7227-ac91c94d-e5f0-4c4b-aeb6-0c3e15999283.jpg?auto=format&ixlib=react-9.8.1&h=300,"Made for those seeking to relax without the “high”. Citrus Recovery Tincture Drops are an improved version of our Tincture Spray formula now available in glass dropper bottles. Each dose contains 10 MG CBD from full-spectrum cannabis extract and naturally uplifting terpenes from real oranges. 100 doses per bottle. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 18.17MG,CBD: 1000.0MG,,"Tinctures, New, Just In!"
BREEZ: CINNAMON RELIEF 1:1 TINCTURE DROPS 500MG,BREEZ,$70   500.0 milligrams,https://tymber-blaze-products.imgix.net/IMG_7226-43c78f89-47c0-4e5d-8ba2-04aabe11c07e.jpg?auto=format&ixlib=react-9.8.1&h=300,"Each dose is packed with a balanced blend of 5mg THC and 5mg CBD per dose from full-spectrum cannabis oil and naturally anti-inflammatory cinnamon oil. Cinnamon Relief 1:1 Tincture Drops are an improved version of our Tincture Spray formula now available in glass dropper bottles. 100 doses per bottle. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 500.0MG,CBD: 500.0MG,,"Tinctures, New, Just In!"
KAN-ADE: GRAPE TINCTURE 1000MG,KAN-ADE,$50   1000.0 milligrams,https://tymber-blaze-products.imgix.net/02a90f82-a0f3-47ce-adac-4d220dd59480.JPG?auto=format&ixlib=react-9.8.1&h=300,"Tastes just like your favorite grape soda growing up. Drizzle this delicious tincture onto your favorite foods or infuse into your beverage of choice. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 1000.0MG,,HYBRID,"Tinctures, Exclusive"
KAN-ADE: BLUEBERRY POMEGRANATE TINCTURE 1000MG,KAN-ADE,$50   1000.0 milligrams,https://tymber-blaze-products.imgix.net/772ca379-60b0-4e71-9756-7eac70662666.JPG?auto=format&ixlib=react-9.8.1&h=300,"Enjoy the smooth refreshing flavor of blueberry with a punch of bright pomegranate. Drizzle tincture on your pancakes and waffles or make a fresh blueberry pomegranate spritzer.---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 1000.0MG,,HYBRID,"Tinctures, Exclusive"
KAN-ADE: NAKED TINCTURE 1000MG,KAN-ADE,$50   1000.0 milligrams,https://tymber-blaze-products.imgix.net/483c20d2-bd1d-4f5f-8883-a23b7ded13fd.JPG?auto=format&ixlib=react-9.8.1&h=300,"A flavorless cannabis infused drink mixer by Kan-Ade.---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 1000.0MG,,HYBRID,"Tinctures, Exclusive"
KAN-ADE: KIWI STRAWBERRY TINCTURE 1000MG,KAN-ADE,$50   1000.0 milligrams,https://tymber-blaze-products.imgix.net/8a3c8469-ce80-4cfa-b742-67bd88a3b20b.JPG?auto=format&ixlib=react-9.8.1&h=300,"The unique tangy flavor of kiwi and sweet taste of strawberry are the perfect duo delicately blended to enhance your beverage of choice. Try this in a smoothie!---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 1000.0MG,,HYBRID,"Tinctures, Exclusive"
VET CBD: REGULAR STRENGTH 500MG:25MG (CBD:THC) 2OZ TINCTURE,VET CBD,$80   25.0 milligrams,https://tymber-blaze-products.imgix.net/f0ec5ab8-6ba9-42d7-8fe3-2a9382a352dc.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Support joint mobility support normal brain function help maintain normal GI health and help maintain calmness---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 25.0MG,CBD: 500.0MG,,"Tinctures, Just In!"
VET CBD: REGULAR STRENGTH 250MG:12.5MG (CBD:THC) 2OZ TINCTURE,VET CBD,$52   12.5 milligrams,https://tymber-blaze-products.imgix.net/c8df697a-2dbd-4863-8a97-ff09a459622f.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Support joint mobility support normal brain function help maintain normal GI health and help maintain calmness---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 12.5MG,CBD: 250.0MG,,"Tinctures, Just In!"
